,date,page,query,clicks,impressions,ctr,position
0,2026-01-28,https://facundogrowth.com/blog/consultor-seo-para-pymes/,consultor seo growth,0,1,0,87.0
1,2026-01-28,https://facundogrowth.com/consultor-seo-chile/,consultor seo wordpress,0,1,0,84.0
2,2026-01-31,https://facundogrowth.com/blog/consultor-seo-para-pymes/,consultor seo para pymes,0,1,0,100.0
3,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,que es el seo,0,2,0,85.5
4,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,que es seo,0,10,0,60.3
5,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,que es seo y como funciona,0,1,0,77.0
6,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,qué es seo,0,4,0,72.5
7,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,qué significa seo,0,1,0,56.0
8,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,seo definicion,0,1,0,94.0
9,2026-01-31,https://facundogrowth.com/blog/que-es-seo/,seo en espanol,0,1,0,86.0
10,2026-01-31,https://facundogrowth.com/consultor-seo-chile/,consultor seo chile,0,3,0,76.0
11,2026-01-31,https://facundogrowth.com/consultor-seo-chile/,consultora seo,0,1,0,32.0
12,2026-01-31,https://facundogrowth.com/consultor-seo-chile/,consultores seo,0,3,0,72.66666666666667
13,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,como funciona seo,0,2,0,84.5
14,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,el seo,0,19,0,88.6842105263158
15,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,que es el seo de una web,0,1,0,99.0
16,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,que es seo,0,8,0,67.625
17,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,qué es seo,0,4,0,77.25
18,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,seo definicion,0,16,0,89.625
19,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,seo en español,0,2,0,67.0
20,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,significado de seo,0,2,0,90.5
21,2026-02-01,https://facundogrowth.com/blog/que-es-seo/,significado seo,0,10,0,80.2
22,2026-02-01,https://facundogrowth.com/consultor-seo-chile/,consultor seo chile,0,1,0,78.0
23,2026-02-01,https://facundogrowth.com/consultor-seo-chile/,consultor seo ecommerce,0,1,0,98.0
24,2026-02-01,https://facundogrowth.com/consultor-seo-chile/,consultor seo profesional,0,1,0,95.0
25,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,el seo,0,8,0,62.0
26,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,que es el seo de una web,0,1,0,98.0
27,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,que es la seo,0,2,0,96.0
28,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,que es seo,0,12,0,70.16666666666667
29,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,que es un seo,0,2,0,100.0
30,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,qué es seo,0,6,0,67.16666666666667
31,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,seo definicion,0,8,0,90.625
32,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,seo que significa,0,1,0,71.0
33,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,significado de seo,0,7,0,80.71428571428571
34,2026-02-02,https://facundogrowth.com/blog/que-es-seo/,significado seo,0,5,0,76.8
35,2026-02-02,https://facundogrowth.com/consultor-seo-chile/,consultor seo chile,0,1,0,80.0
36,2026-02-02,https://facundogrowth.com/consultor-seo-chile/,consultor seo ecommerce,0,2,0,90.5
37,2026-02-02,https://facundogrowth.com/consultor-seo-chile/,consultor seo growth,0,2,0,6.5
38,2026-02-02,https://facundogrowth.com/consultor-seo-chile/,consultor seo profesional,0,1,0,96.0
39,2026-02-03,https://facundogrowth.com/blog/consultor-seo-para-pymes/,consultor seo para pymes,0,1,0,23.0
